basket,MAE,MAPE,mean_ci_width,ci_lower_mean,ci_upper_mean,coverage,scenario,effect_size,heterogeneity
1,0.1468823996030755,NA,0.8733485288219346,-0.4326761679329037,0.44067236088903083,0.978,P1_null,0,P1
2,0.1503834352858637,NA,0.9044141974297452,-0.46387638294417866,0.44053781448556656,0.994,P1_null,0,P1
3,0.13666377432781285,NA,0.8628905051736091,-0.4434303772377192,0.4194601279358899,0.984,P1_null,0,P1
4,0.15389460995739632,NA,0.951637895040493,-0.48262651904712844,0.46901137599336457,0.986,P1_null,0,P1
5,0.13710578426205072,NA,0.8135546166997292,-0.4261020778944137,0.38745253880531544,0.98,P1_null,0,P1
1,0.13453986516064512,NA,0.7855565912141944,-0.39330845724876995,0.39224813396542446,0.98,P2_null,0,P2
2,0.1352903662362578,NA,0.8068367350697572,-0.4140676992396902,0.39276903583006695,0.988,P2_null,0,P2
3,0.12727093473856396,NA,0.7794651355043699,-0.40183098840022147,0.3776341471041485,0.98,P2_null,0,P2
4,0.1371696846779525,NA,0.8356114512478813,-0.42639058210357333,0.40922086914430794,0.982,P2_null,0,P2
5,0.12858006547436474,NA,0.7466807906263363,-0.3898532609420327,0.35682752968430353,0.976,P2_null,0,P2
1,0.1412515661368121,NA,0.8365900254295173,-0.4161907575494179,0.4203992678800994,0.976,P3_null,0,P3
2,0.14352978415998702,NA,0.8636775026893686,-0.44285608441041263,0.420821418278956,0.99,P3_null,0,P3
3,0.1319473860448918,NA,0.8280043133238737,-0.4258600280560778,0.4021442852677959,0.98,P3_null,0,P3
4,0.1458028537782385,NA,0.9025293591138412,-0.45859396471121233,0.4439353944026289,0.982,P3_null,0,P3
5,0.1333096102325917,NA,0.7864951292346094,-0.4108455205515847,0.37564960868302477,0.978,P3_null,0,P3
