scenario,n,power,effect_size
P1 - High heterogeneity,6,0.6056,0.8
P1 - High heterogeneity,8,0.7136,0.8
P1 - High heterogeneity,10,0.8088,0.8
P1 - High heterogeneity,12,0.872,0.8
P1 - High heterogeneity,14,0.9116000000000001,0.8
P1 - High heterogeneity,16,0.9416,0.8
P1 - High heterogeneity,18,0.9632,0.8
P1 - High heterogeneity,20,0.9692,0.8
P1 - High heterogeneity,22,0.982,0.8
P1 - High heterogeneity,24,0.984,0.8
P1 - High heterogeneity,26,0.9876,0.8
P1 - High heterogeneity,28,0.994,0.8
P1 - High heterogeneity,30,0.9924,0.8
P1 - High heterogeneity,6,0.2436,0.5
P1 - High heterogeneity,8,0.2956,0.5
P1 - High heterogeneity,10,0.386,0.5
P1 - High heterogeneity,12,0.4764,0.5
P1 - High heterogeneity,14,0.5416000000000001,0.5
P1 - High heterogeneity,16,0.5964,0.5
P1 - High heterogeneity,18,0.6692,0.5
P1 - High heterogeneity,20,0.6788,0.5
P1 - High heterogeneity,22,0.75,0.5
P1 - High heterogeneity,24,0.7824,0.5
P1 - High heterogeneity,26,0.8012,0.5
P1 - High heterogeneity,28,0.8408,0.5
P1 - High heterogeneity,30,0.8368,0.5
P1 - High heterogeneity,6,0.0404,0.2
P1 - High heterogeneity,8,0.0584,0.2
P1 - High heterogeneity,10,0.0636,0.2
P1 - High heterogeneity,12,0.0784,0.2
P1 - High heterogeneity,14,0.092,0.2
P1 - High heterogeneity,16,0.094,0.2
P1 - High heterogeneity,18,0.11839999999999999,0.2
P1 - High heterogeneity,20,0.1104,0.2
P1 - High heterogeneity,22,0.1356,0.2
P1 - High heterogeneity,24,0.1552,0.2
P1 - High heterogeneity,26,0.1496,0.2
P1 - High heterogeneity,28,0.1484,0.2
P1 - High heterogeneity,30,0.1624,0.2
P2 - Low heterogeneity,6,0.7268,0.8
P2 - Low heterogeneity,8,0.8188,0.8
P2 - Low heterogeneity,10,0.8864,0.8
P2 - Low heterogeneity,12,0.9328000000000001,0.8
P2 - Low heterogeneity,14,0.9608,0.8
P2 - Low heterogeneity,16,0.9712,0.8
P2 - Low heterogeneity,18,0.9843999999999999,0.8
P2 - Low heterogeneity,20,0.9872,0.8
P2 - Low heterogeneity,22,0.994,0.8
P2 - Low heterogeneity,24,0.9916,0.8
P2 - Low heterogeneity,26,0.996,0.8
P2 - Low heterogeneity,28,0.9976,0.8
P2 - Low heterogeneity,30,0.998,0.8
P2 - Low heterogeneity,6,0.32080000000000003,0.5
P2 - Low heterogeneity,8,0.3808,0.5
