basket,power,MAE,MAPE,mean_ci_width,ci_lower_mean,ci_upper_mean,coverage,scenario,effect_size,heterogeneity
1,0.958,0.14737070973823263,0.1842133871727908,0.8749810426151695,0.3481168906254385,1.223097933240608,0.982,P1_effect08,0.8,P1
2,0.918,0.15184961196298838,0.18981201495373545,0.9057171254625752,0.3164109717392382,1.2221280972018134,0.988,P1_effect08,0.8,P1
3,0.954,0.13908702679660906,0.1738587834957613,0.8631440919782445,0.33869975701039523,1.2018438489886398,0.986,P1_effect08,0.8,P1
4,0.888,0.15522443107610082,0.19403053884512603,0.9534809012231223,0.29604829074041983,1.2495291919635423,0.984,P1_effect08,0.8,P1
5,0.962,0.13898587401954163,0.173732342524427,0.8150264196991446,0.35685295142770784,1.1718793711268525,0.978,P1_effect08,0.8,P1
1,0.982,0.1350515418732904,0.168814427341613,0.7867534507418921,0.38821621624357183,1.174969666985464,0.982,P2_effect08,0.8,P2
2,0.964,0.13647881860313085,0.17059852325391356,0.8078809060394655,0.366637219097214,1.1745181251366794,0.984,P2_effect08,0.8,P2
3,0.982,0.12963168153319427,0.16203960191649283,0.7792356644270265,0.3802148413936656,1.159450505820692,0.982,P2_effect08,0.8,P2
4,0.95,0.13829094285390126,0.17286367856737656,0.8360308389238241,0.3540177855480911,1.1900486244719153,0.982,P2_effect08,0.8,P2
5,0.98,0.129716068862849,0.16214508607856126,0.7469822714375293,0.3931507181603582,1.1401329895978873,0.976,P2_effect08,0.8,P2
1,0.976,0.14176894708466525,0.17721118385583157,0.8382943040957861,0.36470109815526447,1.2029954022510505,0.984,P3_effect08,0.8,P3
2,0.944,0.14474543172355656,0.18093178965444567,0.8652346847152932,0.33760908443726206,1.2028437691525553,0.992,P3_effect08,0.8,P3
3,0.966,0.1345521991701978,0.16819024896274726,0.8295253826499017,0.3549668615273922,1.184492244177294,0.984,P3_effect08,0.8,P3
4,0.928,0.14711261676257859,0.18389077095322323,0.9033381689631308,0.3206148028814437,1.2239529718445745,0.98,P3_effect08,0.8,P3
5,0.97,0.13444498011703881,0.1680562251462985,0.786702185772774,0.37181044910062255,1.1585126348733965,0.98,P3_effect08,0.8,P3
1,0.612,0.14683539284082972,0.29367078568165944,0.8740729178766808,0.055543168005875866,0.9296160858825567,0.978,P1_effect05,0.5,P1
2,0.568,0.1509525771447895,0.301905154289579,0.9055403485572254,0.023850479359575526,0.9293908279168009,0.99,P1_effect05,0.5,P1
3,0.61,0.13794281324591318,0.27588562649182635,0.862330984180461,0.04593173714541843,0.9082627213258794,0.988,P1_effect05,0.5,P1
4,0.556,0.15446224180799745,0.3089244836159949,0.9527669540272429,0.004180746273149351,0.9569477003003922,0.982,P1_effect05,0.5,P1
5,0.656,0.137884322641368,0.275768645282736,0.8144377250281716,0.063257735273575,0.8776954603017466,0.978,P1_effect05,0.5,P1
1,0.704,0.13469905284922754,0.26939810569845507,0.7867292053177735,0.09506459441261955,0.8817937997303931,0.98,P2_effect05,0.5,P2
2,0.668,0.13596345190262776,0.2719269038052555,0.8076231759698779,0.07363962106198599,0.8812627970318638,0.986,P2_effect05,0.5,P2
