power,sample_size,ic_size,mape,early_stop,n,n_strate,strategy,group
2.8000000000000003,200,2.5210144917878816,NA,0,11.013,5.195,A,Responder ARDS
8.5,200,1.0233352992519995,NA,0.1,112.223,53.665,A,Responder non_ARDS
3.4000000000000004,200,2.7671643164214976,NA,0.4,8.748,4.391,C,Non Responder ARDS
10.299999999999999,200,1.2986994908596434,NA,0.5,68.016,34.118,C,Non Responder non_ARDS
3.5000000000000004,300,2.5530931452572103,NA,0,16.528,7.751,A,Responder ARDS
10.100000000000001,300,1.0330766587314317,NA,0,168.471,80.373,A,Responder non_ARDS
3.5000000000000004,300,2.802562815095172,NA,0.7000000000000001,13.185,6.65,C,Non Responder ARDS
10.100000000000001,300,1.3109909350606173,NA,0.5,101.816,51.169,C,Non Responder non_ARDS
3.5000000000000004,400,2.586398935700891,NA,0,22.107,10.362,A,Responder ARDS
10.2,400,1.042893862235337,NA,0,224.367,106.94,A,Responder non_ARDS
3.5999999999999996,400,2.83872618568345,NA,1.0999999999999999,17.719,8.93,C,Non Responder ARDS
10.100000000000001,400,1.3237495472090421,NA,0.7000000000000001,135.807,68.605,C,Non Responder non_ARDS
2.9000000000000004,500,2.603372268897137,NA,0.1,27.577,12.939,A,Responder ARDS
11,500,1.0478181541434997,NA,0.1,280.439,133.986,A,Responder non_ARDS
4.1000000000000005,500,2.8587538404234056,NA,1,22.119,11.109,C,Non Responder ARDS
11.5,500,1.330028722656013,NA,1,169.865,85.894,C,Non Responder non_ARDS
3.5000000000000004,600,2.6221561167809386,NA,0.1,32.992,15.551,A,Responder ARDS
10.6,600,1.0531090892004178,NA,0.2,336.649,160.42,A,Responder non_ARDS
3.6999999999999997,600,2.8785291204122805,NA,1.9,26.615,13.327,C,Non Responder ARDS
10.2,600,1.3367526526315563,NA,1.0999999999999999,203.744,102.846,C,Non Responder non_ARDS
3.5000000000000004,700,2.6221561167809386,NA,0,38.594,18.146,A,Responder ARDS
12.3,700,1.0531090892004178,NA,0.2,392.496,186.319,A,Responder non_ARDS
3.3000000000000003,700,2.8785291204122805,NA,2.4,31.012,15.647,C,Non Responder ARDS
11,700,1.3367526526315563,NA,0.8,237.898,120.074,C,Non Responder non_ARDS
3.5000000000000004,800,2.6406095496739828,NA,0.2,43.973,20.727,A,Responder ARDS
11.899999999999999,800,1.058498964808784,NA,0.1,448.672,213.073,A,Responder non_ARDS
4.3999999999999995,800,2.8991923974804834,NA,2.1,35.525,17.908,C,Non Responder ARDS
11,800,1.3436360384202855,NA,1.2,271.83,137.457,C,Non Responder non_ARDS
4.3,900,2.6406095496739828,NA,0.3,49.456,23.449,A,Responder ARDS
11,900,1.058498964808784,NA,0.1,504.569,240.551,A,Responder non_ARDS
3.3000000000000003,900,2.8991923974804834,NA,2,39.933,20.1,C,Non Responder ARDS
10.2,900,1.3436360384202855,NA,1.5,306.042,154.516,C,Non Responder non_ARDS
4,1000,2.658901240653734,NA,0.2,54.969,25.988,A,Responder ARDS
12.6,1000,1.0638346081371628,NA,0.1,560.799,268.414,A,Responder non_ARDS
3.9,1000,2.9196988025964545,NA,2.1999999999999997,44.389,22.342,C,Non Responder ARDS
9.2,1000,1.3507377633989326,NA,1.7999999999999998,339.843,171.262,C,Non Responder non_ARDS
3.9,1100,2.658901240653734,NA,0.3,60.422,28.448,A,Responder ARDS
11.200000000000001,1100,1.0638346081371628,NA,0.2,616.853,293.101,A,Responder non_ARDS
3.5999999999999996,1100,2.9196988025964545,NA,2.3,48.94,24.644,C,Non Responder ARDS
10.100000000000001,1100,1.3507377633989326,NA,1.7999999999999998,373.785,188.57,C,Non Responder non_ARDS
3.4000000000000004,1200,2.658901240653734,NA,0,65.929,31.117,A,Responder ARDS
11.3,1200,1.0638346081371628,NA,0.1,672.933,319.85,A,Responder non_ARDS
3.3000000000000003,1200,2.9196988025964545,NA,2.3,53.408,26.796,C,Non Responder ARDS
10.100000000000001,1200,1.3507377633989326,NA,1.9,407.73,205.216,C,Non Responder non_ARDS
