power,sample_size,ic_size,mape,early_stop,n,n_strate,strategy,group
34.300000000000004,200,4.136174152648127,NA,4.1000000000000005,11.07,4.628,A,Responder ARDS
82,200,1.485375613643556,NA,1.2,111.095,68.464,A,Responder non_ARDS
16.1,200,4.790951569738027,6.5551998390406325,28.9,8.691,4.069,C,Non Responder ARDS
18.7,200,3.8528073123582693,93.46228322160218,1.7000000000000002,69.144,31.758,C,Non Responder non_ARDS
44.7,300,4.183048417107957,NA,8.5,16.66,6.428,A,Responder ARDS
93.8,300,1.5016163578451986,NA,2.1999999999999997,165.911,113.144,A,Responder non_ARDS
20.3,300,4.845819830280952,6.5551998390406325,52,13.053,5.818,C,Non Responder ARDS
25.7,300,3.9088751688675467,93.46228322160218,3.8,104.376,45.716,C,Non Responder non_ARDS
55.00000000000001,400,4.232608636927459,-23.119653094343136,13.900000000000002,22.348,8.033,A,Responder ARDS
97.7,400,1.5177236387313593,-10.534589400414488,2.5,220.206,160.38,A,Responder non_ARDS
23.7,400,4.903243792432196,6.5551998390406325,68.8,17.478,7.612,C,Non Responder ARDS
32.4,400,3.9686319000998047,93.46228322160218,4.3999999999999995,139.968,58.689,C,Non Responder non_ARDS
62.5,500,4.256906895038769,-23.119653094343136,19.8,27.929,9.413,A,Responder ARDS
99.5,500,1.5266646487748372,-10.534589400414488,4.2,274.503,209.647,A,Responder non_ARDS
29.799999999999997,500,4.931771794025445,6.5551998390406325,82.5,21.767,9.297,C,Non Responder ARDS
37.5,500,4.000205045914632,93.46228322160218,6.9,175.801,71.176,C,Non Responder non_ARDS
68.10000000000001,600,4.282418968179053,-23.119653094343136,24,33.409,10.659,A,Responder ARDS
99.9,600,1.535696201731911,-10.534589400414488,5.7,328.919,259.571,A,Responder non_ARDS
31.900000000000002,600,4.963273971590833,6.5551998390406325,89.4,26.198,10.828,C,Non Responder ARDS
42.9,600,4.030458698988325,93.46228322160218,9,211.474,82.907,C,Non Responder non_ARDS
74.9,700,4.282418968179053,-23.119653094343136,27.900000000000002,39.116,11.841,A,Responder ARDS
99.8,700,1.535696201731911,-10.534589400414488,7.000000000000001,382.81,310.409,A,Responder non_ARDS
37,700,4.963273971590833,6.5551998390406325,95,30.49,12.315,C,Non Responder ARDS
48.5,700,4.030458698988325,93.46228322160218,10.7,247.584,94.019,C,Non Responder non_ARDS
80,800,4.307663506994823,-23.119653094343136,34.2,44.666,12.822,A,Responder ARDS
99.9,800,1.5446989359905392,-10.534589400414488,8.200000000000001,437.045,362.765,A,Responder non_ARDS
39.900000000000006,800,4.994679018730528,6.5551998390406325,97.6,34.832,13.785,C,Non Responder ARDS
50.6,800,4.061678536220515,93.46228322160218,11.799999999999999,283.457,104.95,C,Non Responder non_ARDS
83.6,900,4.307663506994823,-23.119653094343136,39.1,50.321,13.782,A,Responder ARDS
100,900,1.5446989359905392,-10.534589400414488,11.1,490.979,414.622,A,Responder non_ARDS
43.6,900,4.994679018730528,6.5551998390406325,98.8,39.068,15.119,C,Non Responder ARDS
54.800000000000004,900,4.061678536220515,93.46228322160218,15.9,319.632,115.221,C,Non Responder non_ARDS
88.3,1000,4.3338540322852515,-23.119653094343136,46,56.012,14.611,A,Responder ARDS
100,1000,1.5538106139706451,-10.534589400414488,12.4,545.09,467.789,A,Responder non_ARDS
47.5,1000,5.025614031038945,6.5551998390406325,99.2,43.346,16.496,C,Non Responder ARDS
58.599999999999994,1000,4.095543333705426,93.46228322160218,18.099999999999998,355.552,124.989,C,Non Responder non_ARDS
90.10000000000001,1100,4.3338540322852515,-23.119653094343136,49.8,61.64,15.429,A,Responder ARDS
100,1100,1.5538106139706451,-10.534589400414488,13.5,599.101,520.23,A,Responder non_ARDS
50.5,1100,5.025614031038945,6.5551998390406325,99.7,47.722,17.82,C,Non Responder ARDS
63.1,1100,4.095543333705426,93.46228322160218,21,391.537,133.438,C,Non Responder non_ARDS
93,1200,4.3338540322852515,-23.119653094343136,55.50000000000001,67.311,16.179,A,Responder ARDS
100,1200,1.5538106139706451,-10.534589400414488,15.5,653.237,572.902,A,Responder non_ARDS
53.2,1200,5.025614031038945,6.5551998390406325,99.7,52.026,19.063,C,Non Responder ARDS
64.5,1200,4.095543333705426,93.46228322160218,22.3,427.426,143,C,Non Responder non_ARDS
