scenario,n,power,effect_size
P1 - High heterogeneity,6,NA,0.8
P1 - High heterogeneity,8,NA,0.8
P1 - High heterogeneity,10,NA,0.8
P1 - High heterogeneity,12,NA,0.8
P1 - High heterogeneity,14,NA,0.8
P1 - High heterogeneity,16,NA,0.8
P1 - High heterogeneity,18,NA,0.8
P1 - High heterogeneity,20,NA,0.8
P1 - High heterogeneity,22,NA,0.8
P1 - High heterogeneity,24,NA,0.8
P1 - High heterogeneity,26,NA,0.8
P1 - High heterogeneity,28,NA,0.8
P1 - High heterogeneity,30,NA,0.8
P1 - High heterogeneity,6,NA,0.5
P1 - High heterogeneity,8,NA,0.5
P1 - High heterogeneity,10,NA,0.5
P1 - High heterogeneity,12,NA,0.5
P1 - High heterogeneity,14,NA,0.5
P1 - High heterogeneity,16,NA,0.5
P1 - High heterogeneity,18,NA,0.5
P1 - High heterogeneity,20,NA,0.5
P1 - High heterogeneity,22,NA,0.5
P1 - High heterogeneity,24,NA,0.5
P1 - High heterogeneity,26,NA,0.5
P1 - High heterogeneity,28,NA,0.5
P1 - High heterogeneity,30,NA,0.5
P1 - High heterogeneity,6,NA,0.2
P1 - High heterogeneity,8,NA,0.2
P1 - High heterogeneity,10,NA,0.2
P1 - High heterogeneity,12,NA,0.2
P1 - High heterogeneity,14,NA,0.2
P1 - High heterogeneity,16,NA,0.2
P1 - High heterogeneity,18,NA,0.2
P1 - High heterogeneity,20,NA,0.2
P1 - High heterogeneity,22,NA,0.2
P1 - High heterogeneity,24,NA,0.2
P1 - High heterogeneity,26,NA,0.2
P1 - High heterogeneity,28,NA,0.2
P1 - High heterogeneity,30,NA,0.2
P2 - Low heterogeneity,6,NA,0.8
P2 - Low heterogeneity,8,NA,0.8
P2 - Low heterogeneity,10,NA,0.8
P2 - Low heterogeneity,12,NA,0.8
P2 - Low heterogeneity,14,NA,0.8
P2 - Low heterogeneity,16,NA,0.8
P2 - Low heterogeneity,18,NA,0.8
P2 - Low heterogeneity,20,NA,0.8
P2 - Low heterogeneity,22,NA,0.8
P2 - Low heterogeneity,24,NA,0.8
P2 - Low heterogeneity,26,NA,0.8
P2 - Low heterogeneity,28,NA,0.8
P2 - Low heterogeneity,30,NA,0.8
P2 - Low heterogeneity,6,NA,0.5
P2 - Low heterogeneity,8,NA,0.5
P2 - Low heterogeneity,10,NA,0.5
P2 - Low heterogeneity,12,NA,0.5
P2 - Low heterogeneity,14,NA,0.5
P2 - Low heterogeneity,16,NA,0.5
P2 - Low heterogeneity,18,NA,0.5
P2 - Low heterogeneity,20,NA,0.5
P2 - Low heterogeneity,22,NA,0.5
P2 - Low heterogeneity,24,NA,0.5
P2 - Low heterogeneity,26,NA,0.5
P2 - Low heterogeneity,28,NA,0.5
P2 - Low heterogeneity,30,NA,0.5
P2 - Low heterogeneity,6,NA,0.2
P2 - Low heterogeneity,8,NA,0.2
P2 - Low heterogeneity,10,NA,0.2
P2 - Low heterogeneity,12,NA,0.2
P2 - Low heterogeneity,14,NA,0.2
P2 - Low heterogeneity,16,NA,0.2
P2 - Low heterogeneity,18,NA,0.2
P2 - Low heterogeneity,20,NA,0.2
P2 - Low heterogeneity,22,NA,0.2
P2 - Low heterogeneity,24,NA,0.2
P2 - Low heterogeneity,26,NA,0.2
P2 - Low heterogeneity,28,NA,0.2
P2 - Low heterogeneity,30,NA,0.2
P3 - Moderate heterogeneity,6,NA,0.8
P3 - Moderate heterogeneity,8,NA,0.8
P3 - Moderate heterogeneity,10,NA,0.8
P3 - Moderate heterogeneity,12,NA,0.8
P3 - Moderate heterogeneity,14,NA,0.8
P3 - Moderate heterogeneity,16,NA,0.8
P3 - Moderate heterogeneity,18,NA,0.8
P3 - Moderate heterogeneity,20,NA,0.8
P3 - Moderate heterogeneity,22,NA,0.8
P3 - Moderate heterogeneity,24,NA,0.8
P3 - Moderate heterogeneity,26,NA,0.8
P3 - Moderate heterogeneity,28,NA,0.8
P3 - Moderate heterogeneity,30,NA,0.8
P3 - Moderate heterogeneity,6,NA,0.5
P3 - Moderate heterogeneity,8,NA,0.5
P3 - Moderate heterogeneity,10,NA,0.5
P3 - Moderate heterogeneity,12,NA,0.5
P3 - Moderate heterogeneity,14,NA,0.5
P3 - Moderate heterogeneity,16,NA,0.5
P3 - Moderate heterogeneity,18,NA,0.5
P3 - Moderate heterogeneity,20,NA,0.5
P3 - Moderate heterogeneity,22,NA,0.5
P3 - Moderate heterogeneity,24,NA,0.5
P3 - Moderate heterogeneity,26,NA,0.5
P3 - Moderate heterogeneity,28,NA,0.5
P3 - Moderate heterogeneity,30,NA,0.5
P3 - Moderate heterogeneity,6,NA,0.2
P3 - Moderate heterogeneity,8,NA,0.2
P3 - Moderate heterogeneity,10,NA,0.2
P3 - Moderate heterogeneity,12,NA,0.2
P3 - Moderate heterogeneity,14,NA,0.2
P3 - Moderate heterogeneity,16,NA,0.2
P3 - Moderate heterogeneity,18,NA,0.2
P3 - Moderate heterogeneity,20,NA,0.2
P3 - Moderate heterogeneity,22,NA,0.2
P3 - Moderate heterogeneity,24,NA,0.2
P3 - Moderate heterogeneity,26,NA,0.2
P3 - Moderate heterogeneity,28,NA,0.2
P3 - Moderate heterogeneity,30,NA,0.2
